,id,title,tags
0,862,Toy Story,"led by woody, andy' toy live happili in hi room until andy' birthday bring buzz lightyear onto the scene. afraid of lose hi place in andy' heart, woodi plot against buzz. but when circumst separ buzz and woodi from their owner, the duo eventu learn to put asid their differences. anim comedi famili johnlasset"
1,8844,Jumanji,"when sibl judi and peter discov an enchant board game that open the door to a magic world, they unwittingli invit alan -- an adult who' been trap insid the game for 26 year -- into their live room. alan' onli hope for freedom is to finish the game, which prove riski as all three find themselv run from giant rhinoceroses, evil monkey and other terrifi creatures. adventur fantasi famili joejohnston"
2,15602,Grumpier Old Men,"a famili wed reignit the ancient feud between next-door neighbor and fish buddi john and max. meanwhile, a sultri italian divorcé open a restaur at the local bait shop, alarm the local who worri she'll scare the fish away. but she' less interest in seafood than she is in cook up a hot time with max. romanc comedi howarddeutch"
3,31357,Waiting to Exhale,"cheat on, mistreat and step on, the women are hold their breath, wait for the elus ""good man"" to break a string of less-than-stellar lovers. friend and confid vannah, bernie, glo and robin talk it all out, determin to find a better way to breathe. comedi drama romanc forestwhitak"
4,11862,Father of the Bride Part II,"just when georg bank ha recov from hi daughter' wedding, he receiv the news that she' pregnant ... and that george' wife, nina, is expect too. he wa plan on sell their home, but that' a plan that -- like georg -- will have to chang with the arriv of both a grandchild and a kid of hi own. comedi charlesshy"
5,949,Heat,"obsess master thief, neil mccauley lead a top-notch crew on variou insan heist throughout lo angel while a mental unstabl detective, vincent hanna pursu him without rest. each man recogn and respect the abil and the dedic of the other even though they are awar their cat-and-mous game may end in violence. action crime drama thriller michaelmann"
6,11860,Sabrina,"an ugli duckl have undergon a remark change, still harbor feel for her crush: a carefre playboy, but not befor hi business-focus brother ha someth to say about it. comedi romanc sydneypollack"
7,45325,Tom and Huck,"a mischiev young boy, tom sawyer, wit a murder by the deadli injun joe. tom becom friend with huckleberri finn, a boy with no futur and no family. tom ha to choos between honor a friendship or honor an oath becaus the town alcohol is accus of the murder. tom and huck go through sever adventur tri to retriev evidence. action adventur drama famili peterhewitt"
8,9091,Sudden Death,"intern action superstar jean claud van damm team with power booth in a tension-packed, suspens thriller, set against the back-drop of a stanley cup game.van damm portray a father whose daughter is suddenli taken dure a championship hockey game. with the captor demand a billion dollar by game' end, van damm frantic set a plan in motion to rescu hi daughter and abort an impend explos befor the final buzzer... action adventur thriller peterhyam"
9,710,GoldenEye,jame bond must unmask the mysteri head of the janu syndic and prevent the leader from util the goldeney weapon system to inflict devast reveng on britain. adventur action thriller martincampbel
10,9087,The American President,"widow u.s. presid andrew shepherd, one of the world' most power men, can have anyth he want -- and what he covet most is sydney ellen wade, a washington lobbyist. but shepherd' attempt at court her spark wild rumor and decim hi approv ratings. comedi drama romanc robrein"
11,12110,Dracula: Dead and Loving It,"when a lawyer show up at the vampire' doorstep, he fall prey to hi charm and join him in hi search for fresh blood. enter dr. van helsing, who may be the onli one abl to vanquish the count. comedi horror melbrook"
12,21032,Balto,"an outcast half-wolf risk hi life to prevent a deadli epidem from ravag nome, alaska. famili anim adventur simonwel"
13,10858,Nixon,"an all-star cast power thi epic look at american presid richard m. nixon, a man carri the fate of the world on hi shoulder while battl the self-destruct demand within. span hi troubl boyhood in california to the shock waterg scandal that would end hi presidency. histori drama oliverston"
